"stateid","state","level","control","counted_pct","awards_per_state_value","awards_per_natl_value","exp_award_state_value","exp_award_natl_value","state_appr_value"
"54","West Virginia","4-year","Private not-for-profit","57.5","20.6","22.6","61476","95725","284.41"
"54","West Virginia","4-year","Private for-profit","99.1","9.0","19.0","30280","42645","284.41"
"54","West Virginia","2-year","Public","60.8","17.6","14.2","43622","42759","284.41"
"54","West Virginia","2-year","Private not-for-profit","","","25.0","","42217","284.41"
"54","West Virginia","2-year","Private for-profit","45.1","23.8","26.3","22955","19798","284.41"
"55","Wisconsin","4-year","Public","63.1","19.7","20.5","66749","68617","256.27"
"55","Wisconsin","4-year","Private not-for-profit","73.9","21.0","22.6","67425","95725","256.27"
"55","Wisconsin","4-year","Private for-profit","81.2","22.0","19.0","41522","42645","256.27"
"55","Wisconsin","2-year","Public","39.2","21.7","14.2","44189","42759","256.27"
"55","Wisconsin","2-year","Private not-for-profit","53.3","17.8","25.0","112534","42217","256.27"
"55","Wisconsin","2-year","Private for-profit","63.2","24.1","26.3","17142","19798","256.27"
"56","Wyoming","4-year","Public","58.2","20.2","20.5","100983","68617","681.59"
"56","Wyoming","4-year","Private not-for-profit","","","22.6","","95725","681.59"
"56","Wyoming","4-year","Private for-profit","","","19.0","","42645","681.59"
"56","Wyoming","2-year","Public","49.2","17.9","14.2","59070","42759","681.59"
"56","Wyoming","2-year","Private not-for-profit","","","25.0","","42217","681.59"
"56","Wyoming","2-year","Private for-profit","","68.8","26.3","27573","19798","681.59"
